baseline,batch_size,graph,algorithm,measurement_idx,insert_time,algorithm_time
run_std_set,1,twitter-unique-undir,LabelPropagation,0,7e-06,3.12785
run_std_set,1,twitter-unique-undir,LabelPropagation,1,1.1e-05,3.062119
run_std_set,1,twitter-unique-undir,LabelPropagation,2,1.1e-05,3.065016
run_std_set,1,twitter-unique-undir,LabelPropagation,3,1.1e-05,3.083671
run_std_set,1,twitter-unique-undir,LabelPropagation,4,1.1e-05,3.110886
run_std_set,1,twitter-unique-undir,LabelPropagation,5,1e-05,3.062156
run_std_set,1,twitter-unique-undir,LabelPropagation,6,1.1e-05,3.13406
run_std_set,1,twitter-unique-undir,LabelPropagation,7,1e-05,3.052714
run_std_set,1,twitter-unique-undir,LabelPropagation,8,1.3e-05,3.047735
run_std_set,1,twitter-unique-undir,LabelPropagation,9,1.2e-05,3.061174
run_std_set,1,twitter-unique-undir,PageRank,0,6e-06,23.231355
run_std_set,1,twitter-unique-undir,PageRank,1,1.1e-05,22.434856
run_std_set,1,twitter-unique-undir,PageRank,2,1.2e-05,22.338457
run_std_set,1,twitter-unique-undir,PageRank,3,2.7e-05,24.523631
run_std_set,1,twitter-unique-undir,PageRank,4,1.2e-05,28.877648
run_std_set,1,twitter-unique-undir,PageRank,5,1.2e-05,28.560009
run_std_set,1,twitter-unique-undir,PageRank,6,2e-05,25.769006
run_std_set,1,twitter-unique-undir,PageRank,7,1.1e-05,27.668254
run_std_set,1,twitter-unique-undir,PageRank,8,2.1e-05,32.879258
run_std_set,1,twitter-unique-undir,PageRank,9,2e-05,30.71535
run_std_set,1,twitter-unique-undir,wBFS_unweighted,0,7e-06,47.777484
run_std_set,1,twitter-unique-undir,wBFS_unweighted,1,1e-05,47.639318
run_std_set,1,twitter-unique-undir,wBFS_unweighted,2,1e-05,47.555943
run_std_set,1,twitter-unique-undir,wBFS_unweighted,3,1e-05,47.500937
run_std_set,1,twitter-unique-undir,wBFS_unweighted,4,1e-05,47.786525
run_std_set,1,twitter-unique-undir,wBFS_unweighted,5,9e-06,47.666765
run_std_set,1,twitter-unique-undir,wBFS_unweighted,6,9e-06,47.754943
run_std_set,1,twitter-unique-undir,wBFS_unweighted,7,9e-06,47.657132
run_std_set,1,twitter-unique-undir,wBFS_unweighted,8,9e-06,47.654847
run_std_set,1,twitter-unique-undir,wBFS_unweighted,9,9e-06,47.775866
run_std_set,10,cit-Patents,BFS,0,2.1e-05,0.044513
run_std_set,10,cit-Patents,BFS,1,2.4e-05,0.04087
run_std_set,10,cit-Patents,BFS,2,2.4e-05,0.040813
run_std_set,10,cit-Patents,BFS,3,2.3e-05,0.041445
run_std_set,10,cit-Patents,BFS,4,2.4e-05,0.04147
run_std_set,10,cit-Patents,BFS,5,2.3e-05,0.041868
run_std_set,10,cit-Patents,BFS,6,2.1e-05,0.043035
run_std_set,10,cit-Patents,BFS,7,2.6e-05,0.041854
run_std_set,10,cit-Patents,BFS,8,2.5e-05,0.040405
run_std_set,10,cit-Patents,BFS,9,2.3e-05,0.041028
run_std_set,10,cit-Patents,LabelPropagation,0,1.7e-05,0.047529
run_std_set,10,cit-Patents,LabelPropagation,1,2.4e-05,0.041051
run_std_set,10,cit-Patents,LabelPropagation,2,2.5e-05,0.040898
run_std_set,10,cit-Patents,LabelPropagation,3,2.4e-05,0.040984
run_std_set,10,cit-Patents,LabelPropagation,4,2.4e-05,0.040971
run_std_set,10,cit-Patents,LabelPropagation,5,2.2e-05,0.042006
run_std_set,10,cit-Patents,LabelPropagation,6,2.7e-05,0.041009
run_std_set,10,cit-Patents,LabelPropagation,7,2.5e-05,0.040818
run_std_set,10,cit-Patents,LabelPropagation,8,2.5e-05,0.04069
run_std_set,10,cit-Patents,LabelPropagation,9,2.4e-05,0.041248
run_std_set,10,cit-Patents,PageRank,0,2.5e-05,0.365409
run_std_set,10,cit-Patents,PageRank,1,8.8e-05,0.369209
run_std_set,10,cit-Patents,PageRank,2,3.3e-05,0.366366
run_std_set,10,cit-Patents,PageRank,3,3.2e-05,0.378191
run_std_set,10,cit-Patents,PageRank,4,6.3e-05,0.34313
run_std_set,10,cit-Patents,PageRank,5,4.3e-05,0.327603
run_std_set,10,cit-Patents,PageRank,6,3.8e-05,0.327904
run_std_set,10,cit-Patents,PageRank,7,6.8e-05,0.315831
run_std_set,10,cit-Patents,PageRank,8,3.6e-05,0.291976
run_std_set,10,cit-Patents,PageRank,9,7.7e-05,0.298968
run_std_set,10,cit-Patents,wBFS_unweighted,0,1.9e-05,4.742205
run_std_set,10,cit-Patents,wBFS_unweighted,1,2.9e-05,4.725383
run_std_set,10,cit-Patents,wBFS_unweighted,2,2.9e-05,4.719696
run_std_set,10,cit-Patents,wBFS_unweighted,3,7.3e-05,4.703812
run_std_set,10,cit-Patents,wBFS_unweighted,4,2.5e-05,4.675001
run_std_set,10,cit-Patents,wBFS_unweighted,5,2.5e-05,4.659646
run_std_set,10,cit-Patents,wBFS_unweighted,6,2.5e-05,4.598139
run_std_set,10,cit-Patents,wBFS_unweighted,7,2.4e-05,4.664743
run_std_set,10,cit-Patents,wBFS_unweighted,8,2.4e-05,4.665338
run_std_set,10,cit-Patents,wBFS_unweighted,9,2.8e-05,4.681128
run_std_set,10,com-friendster,BFS,0,8.2e-05,5.610217
run_std_set,10,com-friendster,BFS,1,3.4e-05,5.04894
run_std_set,10,com-friendster,BFS,2,3.1e-05,5.087074
run_std_set,10,com-friendster,BFS,3,3.4e-05,5.049867
run_std_set,10,com-friendster,BFS,4,3e-05,5.062343
run_std_set,10,com-friendster,BFS,5,2.6e-05,5.06543
run_std_set,10,com-friendster,BFS,6,3.1e-05,5.082394
run_std_set,10,com-friendster,BFS,7,2.7e-05,5.071305
run_std_set,10,com-friendster,BFS,8,3.3e-05,5.092932
run_std_set,10,com-friendster,BFS,9,6.5e-05,5.036721
