baseline,batch_size,graph,algorithm,measurement_idx,insert_time,algorithm_time
run_pcsr,1,twitter-unique-undir,LabelPropagation,9,5e-06,1.095328
run_pcsr,1,twitter-unique-undir,PageRank,0,2e-06,7.115827
run_pcsr,1,twitter-unique-undir,PageRank,1,5e-06,7.125361
run_pcsr,1,twitter-unique-undir,PageRank,2,6e-06,7.135868
run_pcsr,1,twitter-unique-undir,PageRank,3,8e-06,7.123668
run_pcsr,1,twitter-unique-undir,PageRank,4,5e-06,7.520935
run_pcsr,1,twitter-unique-undir,PageRank,5,5e-06,7.545831
run_pcsr,1,twitter-unique-undir,PageRank,6,5e-06,7.392797
run_pcsr,1,twitter-unique-undir,PageRank,7,5e-06,7.149705
run_pcsr,1,twitter-unique-undir,PageRank,8,5e-06,7.153793
run_pcsr,1,twitter-unique-undir,PageRank,9,6e-06,7.147875
run_pcsr,1,twitter-unique-undir,wBFS_unweighted,0,3e-06,42.322103
run_pcsr,1,twitter-unique-undir,wBFS_unweighted,1,5e-06,42.210752
run_pcsr,1,twitter-unique-undir,wBFS_unweighted,2,6e-06,41.1197
run_pcsr,1,twitter-unique-undir,wBFS_unweighted,3,5e-06,45.955589
run_pcsr,1,twitter-unique-undir,wBFS_unweighted,4,5e-06,49.032483
run_pcsr,1,twitter-unique-undir,wBFS_unweighted,5,6e-06,49.683941
run_pcsr,1,twitter-unique-undir,wBFS_unweighted,6,5e-06,50.62397
run_pcsr,1,twitter-unique-undir,wBFS_unweighted,7,5e-06,49.879758
run_pcsr,1,twitter-unique-undir,wBFS_unweighted,8,5e-06,50.33532
run_pcsr,1,twitter-unique-undir,wBFS_unweighted,9,6e-06,52.142546
run_pcsr,10,cit-Patents,BFS,0,8e-06,0.009186
run_pcsr,10,cit-Patents,BFS,1,1e-05,0.008492
run_pcsr,10,cit-Patents,BFS,2,1e-05,0.008306
run_pcsr,10,cit-Patents,BFS,3,1.1e-05,0.009755
run_pcsr,10,cit-Patents,BFS,4,1.1e-05,0.00832
run_pcsr,10,cit-Patents,BFS,5,1.2e-05,0.008236
run_pcsr,10,cit-Patents,BFS,6,1.2e-05,0.008218
run_pcsr,10,cit-Patents,BFS,7,1.1e-05,0.008264
run_pcsr,10,cit-Patents,BFS,8,1.2e-05,0.008188
run_pcsr,10,cit-Patents,BFS,9,1.2e-05,0.008247
run_pcsr,10,cit-Patents,LabelPropagation,0,8e-06,0.028324
run_pcsr,10,cit-Patents,LabelPropagation,1,1.3e-05,0.025293
run_pcsr,10,cit-Patents,LabelPropagation,2,1.3e-05,0.025532
run_pcsr,10,cit-Patents,LabelPropagation,3,1.4e-05,0.025202
run_pcsr,10,cit-Patents,LabelPropagation,4,1.3e-05,0.02513
run_pcsr,10,cit-Patents,LabelPropagation,5,1.3e-05,0.025355
run_pcsr,10,cit-Patents,LabelPropagation,6,1.5e-05,0.025279
run_pcsr,10,cit-Patents,LabelPropagation,7,1.3e-05,0.025441
run_pcsr,10,cit-Patents,LabelPropagation,8,1.3e-05,0.024817
run_pcsr,10,cit-Patents,LabelPropagation,9,1.3e-05,0.02492
run_pcsr,10,cit-Patents,PageRank,0,1e-05,0.17531
run_pcsr,10,cit-Patents,PageRank,1,1.5e-05,0.169574
run_pcsr,10,cit-Patents,PageRank,2,1.7e-05,0.17053
run_pcsr,10,cit-Patents,PageRank,3,2e-05,0.171942
run_pcsr,10,cit-Patents,PageRank,4,1.8e-05,0.175886
run_pcsr,10,cit-Patents,PageRank,5,1.8e-05,0.171832
run_pcsr,10,cit-Patents,PageRank,6,2.2e-05,0.171327
run_pcsr,10,cit-Patents,PageRank,7,1.8e-05,0.170376
run_pcsr,10,cit-Patents,PageRank,8,2e-05,0.168891
run_pcsr,10,cit-Patents,PageRank,9,2.1e-05,0.154083
run_pcsr,10,cit-Patents,wBFS_unweighted,0,1e-05,5.591803
run_pcsr,10,cit-Patents,wBFS_unweighted,1,1.3e-05,5.618109
run_pcsr,10,cit-Patents,wBFS_unweighted,2,1.3e-05,5.621919
run_pcsr,10,cit-Patents,wBFS_unweighted,3,1.4e-05,5.616445
run_pcsr,10,cit-Patents,wBFS_unweighted,4,1.3e-05,5.594077
run_pcsr,10,cit-Patents,wBFS_unweighted,5,1.2e-05,5.60815
run_pcsr,10,cit-Patents,wBFS_unweighted,6,1.3e-05,5.649803
run_pcsr,10,cit-Patents,wBFS_unweighted,7,1.4e-05,5.602624
run_pcsr,10,cit-Patents,wBFS_unweighted,8,1.4e-05,5.605665
run_pcsr,10,cit-Patents,wBFS_unweighted,9,1.4e-05,5.610047
run_pcsr,10,com-orkut.ungraph,BFS,0,1e-05,0.005708
run_pcsr,10,com-orkut.ungraph,BFS,1,1.1e-05,0.004991
run_pcsr,10,com-orkut.ungraph,BFS,2,1e-05,0.005528
run_pcsr,10,com-orkut.ungraph,BFS,3,1.1e-05,0.005186
run_pcsr,10,com-orkut.ungraph,BFS,4,1.1e-05,0.00517
run_pcsr,10,com-orkut.ungraph,BFS,5,1.1e-05,0.005237
run_pcsr,10,com-orkut.ungraph,BFS,6,1.2e-05,0.004872
run_pcsr,10,com-orkut.ungraph,BFS,7,1.2e-05,0.005391
run_pcsr,10,com-orkut.ungraph,BFS,8,1.2e-05,0.004832
run_pcsr,10,com-orkut.ungraph,BFS,9,1.3e-05,0.005325
run_pcsr,10,com-orkut.ungraph,LabelPropagation,0,1.2e-05,0.040771
run_pcsr,10,com-orkut.ungraph,LabelPropagation,1,1.5e-05,0.039939
run_pcsr,10,com-orkut.ungraph,LabelPropagation,2,1.6e-05,0.039976
run_pcsr,10,com-orkut.ungraph,LabelPropagation,3,1.6e-05,0.040126
run_pcsr,10,com-orkut.ungraph,LabelPropagation,4,1.7e-05,0.042132
run_pcsr,10,com-orkut.ungraph,LabelPropagation,5,1.7e-05,0.040248
run_pcsr,10,com-orkut.ungraph,LabelPropagation,6,1.7e-05,0.039819
run_pcsr,10,com-orkut.ungraph,LabelPropagation,7,1.6e-05,0.040667
run_pcsr,10,com-orkut.ungraph,LabelPropagation,8,1.7e-05,0.039814
run_pcsr,10,com-orkut.ungraph,LabelPropagation,9,1.8e-05,0.04031
run_pcsr,10,com-orkut.ungraph,PageRank,0,1.3e-05,0.212205
run_pcsr,10,com-orkut.ungraph,PageRank,1,1.6e-05,0.19273
run_pcsr,10,com-orkut.ungraph,PageRank,2,1.7e-05,0.202506
run_pcsr,10,com-orkut.ungraph,PageRank,3,1.9e-05,0.197749
run_pcsr,10,com-orkut.ungraph,PageRank,4,2e-05,0.212613
run_pcsr,10,com-orkut.ungraph,PageRank,5,1.7e-05,0.210865
run_pcsr,10,com-orkut.ungraph,PageRank,6,1.9e-05,0.196133
run_pcsr,10,com-orkut.ungraph,PageRank,7,2.3e-05,0.204685
run_pcsr,10,com-orkut.ungraph,PageRank,8,1.8e-05,0.222319
run_pcsr,10,com-orkut.ungraph,PageRank,9,2.1e-05,0.202623
run_pcsr,10,com-orkut.ungraph,wBFS_unweighted,0,1.1e-05,3.928605
run_pcsr,10,com-orkut.ungraph,wBFS_unweighted,1,1.9e-05,3.898724
run_pcsr,10,com-orkut.ungraph,wBFS_unweighted,2,1.7e-05,3.895432
run_pcsr,10,com-orkut.ungraph,wBFS_unweighted,3,1.7e-05,3.901259
run_pcsr,10,com-orkut.ungraph,wBFS_unweighted,4,1.7e-05,3.910189
run_pcsr,10,com-orkut.ungraph,wBFS_unweighted,5,1.8e-05,3.919605
run_pcsr,10,com-orkut.ungraph,wBFS_unweighted,6,1.8e-05,3.916053
run_pcsr,10,com-orkut.ungraph,wBFS_unweighted,7,1.7e-05,3.902567
run_pcsr,10,com-orkut.ungraph,wBFS_unweighted,8,1.7e-05,3.911714
run_pcsr,10,com-orkut.ungraph,wBFS_unweighted,9,1.6e-05,3.909346
run_pcsr,10,soc-LiveJournal1,BFS,0,8e-06,0.007872
run_pcsr,10,soc-LiveJournal1,BFS,1,1.3e-05,0.007002
run_pcsr,10,soc-LiveJournal1,BFS,2,1.3e-05,0.007251
