baseline,batch_size,graph,algorithm,measurement_idx,value1,value2
run_absl_btree_set,10,cit-Patents,wBFS_unweighted,3,3.1e-05,5.366496
run_absl_btree_set,10,cit-Patents,wBFS_unweighted,4,4e-05,5.310941
run_absl_btree_set,10,cit-Patents,wBFS_unweighted,5,3.4e-05,5.25698
run_absl_btree_set,10,cit-Patents,wBFS_unweighted,6,3.1e-05,5.245981
run_absl_btree_set,10,cit-Patents,wBFS_unweighted,7,3.2e-05,5.251497
run_absl_btree_set,10,cit-Patents,wBFS_unweighted,8,3.1e-05,5.278196
run_absl_btree_set,10,cit-Patents,wBFS_unweighted,9,3.3e-05,5.372993
run_absl_btree_set,10,com-friendster,BFS,0,3.8e-05,3.174095
run_absl_btree_set,10,com-friendster,BFS,1,3e-05,2.605992
run_absl_btree_set,10,com-friendster,BFS,2,2.9e-05,2.620893
run_absl_btree_set,10,com-friendster,BFS,3,3.5e-05,2.601818
run_absl_btree_set,10,com-friendster,BFS,4,3.1e-05,2.592854
run_absl_btree_set,10,com-friendster,BFS,5,2.8e-05,2.583278
run_absl_btree_set,10,com-friendster,BFS,6,2.8e-05,2.558149
run_absl_btree_set,10,com-friendster,BFS,7,3e-05,2.554112
run_absl_btree_set,10,com-friendster,BFS,8,2.7e-05,2.552909
run_absl_btree_set,10,com-friendster,BFS,9,3e-05,2.54855
run_absl_btree_set,10,com-friendster,LabelPropagation,0,5e-05,5.550553
run_absl_btree_set,10,com-friendster,LabelPropagation,1,6.4e-05,4.764939
run_absl_btree_set,10,com-friendster,LabelPropagation,2,6.9e-05,4.727803
run_absl_btree_set,10,com-friendster,LabelPropagation,3,4.2e-05,4.798719
run_absl_btree_set,10,com-friendster,LabelPropagation,4,5.3e-05,4.700192
run_absl_btree_set,10,com-friendster,LabelPropagation,5,5.3e-05,4.819914
run_absl_btree_set,10,com-friendster,LabelPropagation,6,4.4e-05,4.555015
run_absl_btree_set,10,com-friendster,LabelPropagation,7,3.9e-05,4.722668
run_absl_btree_set,10,com-friendster,LabelPropagation,8,6.8e-05,4.61113
run_absl_btree_set,10,com-friendster,LabelPropagation,9,8.8e-05,4.696557
run_absl_btree_set,10,com-friendster,PageRank,0,2.5e-05,23.010387
run_absl_btree_set,10,com-friendster,PageRank,1,3.9e-05,24.218139
run_absl_btree_set,10,com-friendster,PageRank,2,4.1e-05,22.276476
run_absl_btree_set,10,com-friendster,PageRank,3,4.7e-05,21.388957
run_absl_btree_set,10,com-friendster,PageRank,4,4.5e-05,20.23344
run_absl_btree_set,10,com-friendster,PageRank,5,3.9e-05,20.127377
run_absl_btree_set,10,com-friendster,PageRank,6,6.7e-05,21.526273
run_absl_btree_set,10,com-friendster,PageRank,7,3.8e-05,21.027939
run_absl_btree_set,10,com-friendster,PageRank,8,4.4e-05,18.703454
run_absl_btree_set,10,com-friendster,PageRank,9,4.2e-05,19.211295
run_absl_btree_set,10,com-friendster,wBFS_unweighted,0,2.7e-05,47.9812
run_absl_btree_set,10,com-friendster,wBFS_unweighted,1,3.8e-05,45.976028
run_absl_btree_set,10,com-friendster,wBFS_unweighted,2,4.2e-05,45.909149
run_absl_btree_set,10,com-friendster,wBFS_unweighted,3,3.7e-05,44.879396
run_absl_btree_set,10,com-friendster,wBFS_unweighted,4,4.4e-05,44.500389
run_absl_btree_set,10,com-friendster,wBFS_unweighted,5,3.2e-05,44.534755
run_absl_btree_set,10,com-friendster,wBFS_unweighted,6,3.2e-05,44.52528
run_absl_btree_set,10,com-friendster,wBFS_unweighted,7,3.3e-05,44.082997
run_absl_btree_set,10,com-friendster,wBFS_unweighted,8,3.5e-05,44.462946
run_absl_btree_set,10,com-friendster,wBFS_unweighted,9,3.3e-05,44.177064
run_absl_btree_set,10,com-orkut.ungraph,BFS,0,1.6e-05,0.014095
run_absl_btree_set,10,com-orkut.ungraph,BFS,1,2.1e-05,0.00956
run_absl_btree_set,10,com-orkut.ungraph,BFS,2,1.8e-05,0.006154
run_absl_btree_set,10,com-orkut.ungraph,BFS,3,1.8e-05,0.006287
run_absl_btree_set,10,com-orkut.ungraph,BFS,4,1.9e-05,0.005952
run_absl_btree_set,10,com-orkut.ungraph,BFS,5,2e-05,0.006114
run_absl_btree_set,10,com-orkut.ungraph,BFS,6,2.1e-05,0.006095
run_absl_btree_set,10,com-orkut.ungraph,BFS,7,1.9e-05,0.005932
run_absl_btree_set,10,com-orkut.ungraph,BFS,8,2e-05,0.006056
run_absl_btree_set,10,com-orkut.ungraph,BFS,9,2.1e-05,0.006018
run_absl_btree_set,10,com-orkut.ungraph,LabelPropagation,0,2.2e-05,0.048324
run_absl_btree_set,10,com-orkut.ungraph,LabelPropagation,1,3.4e-05,0.048838
run_absl_btree_set,10,com-orkut.ungraph,LabelPropagation,2,4.4e-05,0.048025
run_absl_btree_set,10,com-orkut.ungraph,LabelPropagation,3,4.7e-05,0.050861
run_absl_btree_set,10,com-orkut.ungraph,LabelPropagation,4,3.2e-05,0.046879
run_absl_btree_set,10,com-orkut.ungraph,LabelPropagation,5,4.4e-05,0.046715
run_absl_btree_set,10,com-orkut.ungraph,LabelPropagation,6,5.3e-05,0.046632
run_absl_btree_set,10,com-orkut.ungraph,LabelPropagation,7,3.3e-05,0.046674
run_absl_btree_set,10,com-orkut.ungraph,LabelPropagation,8,3.1e-05,0.046675
run_absl_btree_set,10,com-orkut.ungraph,LabelPropagation,9,4.6e-05,0.04603
run_absl_btree_set,10,com-orkut.ungraph,PageRank,0,2.4e-05,0.351914
run_absl_btree_set,10,com-orkut.ungraph,PageRank,1,2.9e-05,0.339054
run_absl_btree_set,10,com-orkut.ungraph,PageRank,2,2.8e-05,0.344937
run_absl_btree_set,10,com-orkut.ungraph,PageRank,3,3.5e-05,0.349092
run_absl_btree_set,10,com-orkut.ungraph,PageRank,4,3.3e-05,0.336451
run_absl_btree_set,10,com-orkut.ungraph,PageRank,5,2.9e-05,0.317587
run_absl_btree_set,10,com-orkut.ungraph,PageRank,6,3.6e-05,0.338648
run_absl_btree_set,10,com-orkut.ungraph,PageRank,7,3.1e-05,0.336982
run_absl_btree_set,10,com-orkut.ungraph,PageRank,8,3.3e-05,0.343131
run_absl_btree_set,10,com-orkut.ungraph,PageRank,9,3.5e-05,0.316503
run_absl_btree_set,10,com-orkut.ungraph,wBFS_unweighted,0,2.7e-05,3.892118
run_absl_btree_set,10,com-orkut.ungraph,wBFS_unweighted,1,3.4e-05,3.722492
run_absl_btree_set,10,com-orkut.ungraph,wBFS_unweighted,2,5e-05,3.67318
run_absl_btree_set,10,com-orkut.ungraph,wBFS_unweighted,3,3.7e-05,3.711117
run_absl_btree_set,10,com-orkut.ungraph,wBFS_unweighted,4,5.6e-05,3.689202
run_absl_btree_set,10,com-orkut.ungraph,wBFS_unweighted,5,3.5e-05,3.647604
run_absl_btree_set,10,com-orkut.ungraph,wBFS_unweighted,6,6.2e-05,3.683497
run_absl_btree_set,10,com-orkut.ungraph,wBFS_unweighted,7,3.6e-05,3.745234
run_absl_btree_set,10,com-orkut.ungraph,wBFS_unweighted,8,0.000334,3.891766
run_absl_btree_set,10,com-orkut.ungraph,wBFS_unweighted,9,3.2e-05,3.686845
run_absl_btree_set,10,soc-LiveJournal1,BFS,0,2.2e-05,0.015735
run_absl_btree_set,10,soc-LiveJournal1,BFS,1,2.1e-05,0.008807
run_absl_btree_set,10,soc-LiveJournal1,BFS,2,2.2e-05,0.008726
run_absl_btree_set,10,soc-LiveJournal1,BFS,3,2.2e-05,0.008828
run_absl_btree_set,10,soc-LiveJournal1,BFS,4,2.2e-05,0.008664
run_absl_btree_set,10,soc-LiveJournal1,BFS,5,2.6e-05,0.008911
run_absl_btree_set,10,soc-LiveJournal1,BFS,6,2.4e-05,0.008668
run_absl_btree_set,10,soc-LiveJournal1,BFS,7,2.3e-05,0.008858
run_absl_btree_set,10,soc-LiveJournal1,BFS,8,2.7e-05,0.008802
run_absl_btree_set,10,soc-LiveJournal1,BFS,9,2.4e-05,0.008761
run_absl_btree_set,10,soc-LiveJournal1,LabelPropagation,0,3.2e-05,0.031596
run_absl_btree_set,10,soc-LiveJournal1,LabelPropagation,1,4.9e-05,0.028912
run_absl_btree_set,10,soc-LiveJournal1,LabelPropagation,2,4.4e-05,0.028985
run_absl_btree_set,10,soc-LiveJournal1,LabelPropagation,3,4e-05,0.028555
run_absl_btree_set,10,soc-LiveJournal1,LabelPropagation,4,3.7e-05,0.028551
run_absl_btree_set,10,soc-LiveJournal1,LabelPropagation,5,3.4e-05,0.029628
run_absl_btree_set,10,soc-LiveJournal1,LabelPropagation,6,2.9e-05,0.028646
run_absl_btree_set,10,soc-LiveJournal1,LabelPropagation,7,4.5e-05,0.028345
run_absl_btree_set,10,soc-LiveJournal1,LabelPropagation,8,3.4e-05,0.028506
run_absl_btree_set,10,soc-LiveJournal1,LabelPropagation,9,4.4e-05,0.028703
