baseline,graph,batch_size,measurement_idx,insert_time_PageRank,algorithm_time_PageRank,insert_time_LabelPropagation,algorithm_time_LabelPropagation,insert_time_wBFS_unweighted,algorithm_time_wBFS_unweighted,insert_time_BFS,algorithm_time_BFS
run_absl_btree_set,soc-LiveJournal1,10,4,3.3e-05,0.22442,3.7e-05,0.028551,0.000202,5.413734,2.2e-05,0.008664
run_absl_btree_set,soc-LiveJournal1,10,5,3.2e-05,0.230405,3.4e-05,0.029628,3.1e-05,5.386475,2.6e-05,0.008911
run_absl_btree_set,soc-LiveJournal1,10,6,3.4e-05,0.223801,2.9e-05,0.028646,2.8e-05,5.179263,2.4e-05,0.008668
run_absl_btree_set,soc-LiveJournal1,10,7,3.7e-05,0.197515,4.5e-05,0.028345,3.5e-05,5.147473,2.3e-05,0.008858
run_absl_btree_set,soc-LiveJournal1,10,8,3.5e-05,0.220085,3.4e-05,0.028506,3e-05,5.245909,2.7e-05,0.008802
run_absl_btree_set,soc-LiveJournal1,10,9,3.1e-05,0.211427,4.4e-05,0.028703,2.9e-05,5.165746,2.4e-05,0.008761
run_absl_btree_set,twitter-unique-undir,10,0,4.4e-05,8.916272,0.000119,1.285691,4.1e-05,33.942975,7.4e-05,0.255518
run_absl_btree_set,twitter-unique-undir,10,1,4.7e-05,8.287978,5.3e-05,1.118683,4.5e-05,33.078375,5.4e-05,0.109315
run_absl_btree_set,twitter-unique-undir,10,2,5.8e-05,8.046834,6.6e-05,1.13742,4.8e-05,33.205169,6.2e-05,0.106169
run_absl_btree_set,twitter-unique-undir,10,3,5.9e-05,7.999395,5.3e-05,1.12894,4.4e-05,32.813262,6e-05,0.103562
run_absl_btree_set,twitter-unique-undir,10,4,4.1e-05,7.890824,6.5e-05,1.123074,5.3e-05,33.64564,5.5e-05,0.105805
run_absl_btree_set,twitter-unique-undir,10,5,6.9e-05,7.711847,6.4e-05,1.133365,5e-05,33.765015,0.000134,0.10573
