baseline,batch_size,graph,algorithm,measurement_idx,value1,value2
run_vector_cpam,1,twitter-unique-undir,PageRank,1,2.7e-05,9.49454
run_vector_cpam,1,twitter-unique-undir,PageRank,2,1.4e-05,9.65261
run_vector_cpam,1,twitter-unique-undir,PageRank,3,2.7e-05,9.461365
run_vector_cpam,1,twitter-unique-undir,PageRank,4,3.3e-05,10.22737
run_vector_cpam,1,twitter-unique-undir,PageRank,5,2.9e-05,11.209578
run_vector_cpam,1,twitter-unique-undir,PageRank,6,1.9e-05,11.166861
run_vector_cpam,1,twitter-unique-undir,PageRank,7,1.9e-05,11.204416
run_vector_cpam,1,twitter-unique-undir,PageRank,8,2.5e-05,11.097944
run_vector_cpam,1,twitter-unique-undir,PageRank,9,1.5e-05,11.296401
run_vector_cpam,1,twitter-unique-undir,wBFS_unweighted,0,3.9e-05,31.073393
run_vector_cpam,1,twitter-unique-undir,wBFS_unweighted,1,2.9e-05,30.297187
run_vector_cpam,1,twitter-unique-undir,wBFS_unweighted,2,1.2e-05,28.701527
run_vector_cpam,1,twitter-unique-undir,wBFS_unweighted,3,2.1e-05,28.828416
run_vector_cpam,1,twitter-unique-undir,wBFS_unweighted,4,1.9e-05,34.684332
run_vector_cpam,1,twitter-unique-undir,wBFS_unweighted,5,1.6e-05,36.694846
run_vector_cpam,1,twitter-unique-undir,wBFS_unweighted,6,1.7e-05,36.437456
run_vector_cpam,1,twitter-unique-undir,wBFS_unweighted,7,1.5e-05,30.19793
run_vector_cpam,1,twitter-unique-undir,wBFS_unweighted,8,1.6e-05,32.40403
run_vector_cpam,1,twitter-unique-undir,wBFS_unweighted,9,1.3e-05,34.835533
run_vector_cpam,10,cit-Patents,BFS,0,2.1e-05,0.008304
run_vector_cpam,10,cit-Patents,BFS,1,2.7e-05,0.007779
run_vector_cpam,10,cit-Patents,BFS,2,2.5e-05,0.007788
run_vector_cpam,10,cit-Patents,BFS,3,2.9e-05,0.00787
run_vector_cpam,10,cit-Patents,BFS,4,2.7e-05,0.010537
run_vector_cpam,10,cit-Patents,BFS,5,2.7e-05,0.007691
run_vector_cpam,10,cit-Patents,BFS,6,2.8e-05,0.010987
run_vector_cpam,10,cit-Patents,BFS,7,3.3e-05,0.007959
run_vector_cpam,10,cit-Patents,BFS,8,3e-05,0.007762
run_vector_cpam,10,cit-Patents,BFS,9,3e-05,0.007774
run_vector_cpam,10,cit-Patents,LabelPropagation,0,2.4e-05,0.02243
run_vector_cpam,10,cit-Patents,LabelPropagation,1,2.9e-05,0.021712
run_vector_cpam,10,cit-Patents,LabelPropagation,2,2.4e-05,0.021655
run_vector_cpam,10,cit-Patents,LabelPropagation,3,3.1e-05,0.021374
run_vector_cpam,10,cit-Patents,LabelPropagation,4,2.7e-05,0.021105
run_vector_cpam,10,cit-Patents,LabelPropagation,5,2.7e-05,0.021178
run_vector_cpam,10,cit-Patents,LabelPropagation,6,2.8e-05,0.022083
run_vector_cpam,10,cit-Patents,LabelPropagation,7,2.7e-05,0.021677
run_vector_cpam,10,cit-Patents,LabelPropagation,8,2.8e-05,0.021213
run_vector_cpam,10,cit-Patents,LabelPropagation,9,2.7e-05,0.021124
run_vector_cpam,10,cit-Patents,PageRank,0,1.9e-05,0.164404
run_vector_cpam,10,cit-Patents,PageRank,1,4e-05,0.160492
run_vector_cpam,10,cit-Patents,PageRank,2,3.9e-05,0.157797
run_vector_cpam,10,cit-Patents,PageRank,3,4.6e-05,0.161751
run_vector_cpam,10,cit-Patents,PageRank,4,3.9e-05,0.165327
run_vector_cpam,10,cit-Patents,PageRank,5,4.6e-05,0.165154
run_vector_cpam,10,cit-Patents,PageRank,6,0.000204,0.166479
run_vector_cpam,10,cit-Patents,PageRank,7,7.8e-05,0.156975
run_vector_cpam,10,cit-Patents,PageRank,8,7.5e-05,0.156143
run_vector_cpam,10,cit-Patents,PageRank,9,4e-05,0.156195
